日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-08-24,100.126,99.487,100.126,92.0,2782,27657872.0,8.12,-0.64,-0.64,0.2
2017-08-25,99.487,99.809,99.838,99.001,2889,28791174.0,0.84,0.32,0.322,0.21
2017-08-28,99.817,99.979,99.988,99.79,2726,27231186.0,0.2,0.17,0.17,0.19
2017-08-29,99.98,99.773,99.98,99.753,531,5299552.0,0.23,-0.21,-0.206,0.04
2017-08-30,99.783,99.877,99.9,99.735,411,4099607.0,0.17,0.1,0.104,0.03
2017-08-31,98.853,99.998,100.0,98.853,1115,11143288.0,1.15,0.12,0.121,0.08
2017-09-01,99.815,99.866,99.99,99.815,267,2665704.0,0.18,-0.13,-0.132,0.02
2017-09-04,99.867,99.878,99.988,99.867,185,1849267.0,0.12,0.01,0.012,0.01
2017-09-05,99.277,99.87,99.889,99.277,47,465406.0,0.61,-0.01,-0.008,0.0
2017-09-06,99.849,99.871,100.0,99.83,826,8255089.0,0.17,0.0,0.001,0.06
2017-09-07,99.71,99.822,99.999,99.71,426,4258319.0,0.29,-0.05,-0.049,0.03
2017-09-08,99.751,99.961,99.99,99.751,366,3658059.0,0.24,0.14,0.139,0.03
2017-09-11,99.97,99.998,100.01,99.816,862,8620788.0,0.19,0.04,0.037,0.06
2017-09-12,99.951,99.962,100.03,99.951,237,2366807.0,0.08,-0.04,-0.036,0.02
2017-09-13,99.935,99.995,100.038,99.935,199,1989393.0,0.1,0.03,0.033,0.01
2017-09-14,99.408,100.009,100.069,99.408,347,3473908.0,0.66,0.01,0.014,0.02
2017-09-15,99.73,100.195,100.198,99.73,171,1711662.0,0.47,0.19,0.186,0.01
2017-09-18,100.041,100.276,100.298,100.041,680,6819123.0,0.26,0.08,0.081,0.05
2017-09-19,100.03,100.121,100.276,100.03,212,2125625.0,0.25,-0.15,-0.155,0.02
2017-09-20,100.124,100.225,100.32,100.124,717,7190835.0,0.2,0.1,0.104,0.05
2017-09-21,100.119,100.28,100.35,100.119,516,5169979.0,0.23,0.05,0.055,0.04
2017-09-22,100.103,100.454,100.51,100.103,1421,14244148.0,0.41,0.17,0.174,0.1
2017-09-25,100.126,100.546,100.6,100.126,1109,11124494.0,0.47,0.09,0.092,0.08
2017-09-26,100.2,100.34,100.501,100.2,2363,23728960.0,0.3,-0.2,-0.206,0.17
2017-09-27,100.207,100.315,100.413,100.206,1010,10129438.0,0.21,-0.02,-0.025,0.07
2017-09-28,100.318,100.428,100.445,100.318,933,9367143.0,0.13,0.11,0.113,0.07
2017-09-29,100.2,100.01,100.2,99.921,355,3551955.0,0.28,-0.42,-0.418,0.03
2017-10-09,100.2,100.136,100.2,100.111,1020,10217320.0,0.09,0.13,0.126,0.07
2017-10-10,100.133,100.2,100.2,100.133,598,5989936.0,0.07,0.06,0.064,0.04
2017-10-11,100.167,99.994,100.172,98.001,357,3574362.0,2.17,-0.21,-0.206,0.03
2017-10-12,99.997,99.99,100.12,99.007,757,7568549.0,1.11,0.0,-0.004,0.05
2017-10-13,99.99,99.914,100.168,99.664,933,9318381.0,0.5,-0.08,-0.076,0.07
2017-10-16,99.911,99.901,99.911,99.502,1849,18469954.0,0.41,-0.01,-0.013,0.13
2017-10-17,99.898,99.601,99.898,99.564,1064,10620990.0,0.33,-0.3,-0.3,0.08
2017-10-18,99.604,99.65,99.998,99.6,373,3715475.0,0.4,0.05,0.049,0.03
2017-10-19,99.653,99.836,99.836,99.6,1156,11526268.0,0.24,0.19,0.186,0.08
2017-10-20,99.833,99.741,99.833,99.522,834,8315980.0,0.31,-0.1,-0.095,0.06
2017-10-23,99.629,99.7,99.856,99.629,1207,12037832.0,0.23,-0.04,-0.041,0.09
2017-10-24,99.55,99.668,99.68,99.55,1046,10420286.0,0.13,-0.03,-0.032,0.07
2017-10-25,99.551,99.66,99.7,99.5,390,3889053.0,0.2,-0.01,-0.008,0.03
2017-10-26,99.5,99.608,99.608,99.408,1303,12973871.0,0.2,-0.05,-0.052,0.09
2017-10-27,99.308,99.6,99.7,99.308,1348,13427947.0,0.39,-0.01,-0.008,0.1
2017-10-30,99.597,99.4,99.6,98.64,191,1896972.0,0.96,-0.2,-0.2,0.01
2017-10-31,99.4,99.386,99.65,99.1,1017,10109128.0,0.55,-0.01,-0.014,0.07
2017-11-01,99.389,99.4,99.4,99.156,1071,10643246.0,0.25,0.01,0.014,0.08
2017-11-02,99.203,99.3,99.3,99.203,1183,11748173.0,0.1,-0.1,-0.1,0.08
2017-11-03,99.2,99.2,99.298,99.2,664,6588887.0,0.1,-0.1,-0.1,0.05
2017-11-06,99.2,99.214,99.215,99.2,961,9538433.0,0.02,0.01,0.014,0.07
2017-11-07,99.214,99.215,99.215,99.214,2086,20698233.0,0.0,0.0,0.001,0.15
2017-11-08,99.1,99.2,99.215,99.001,518,5142513.0,0.22,-0.02,-0.015,0.04
2017-11-09,99.01,99.098,99.1,98.5,1077,10670536.0,0.6,-0.1,-0.102,0.08
2017-11-10,99.095,98.676,99.095,98.58,1173,11578262.0,0.52,-0.43,-0.422,0.08
2017-11-13,98.9,98.7,98.9,98.504,1520,15003519.0,0.4,0.02,0.024,0.11
2017-11-14,98.7,98.98,98.98,98.502,865,8536698.0,0.48,0.28,0.28,0.06
2017-11-15,98.977,98.288,98.977,97.922,138,1357856.0,1.07,-0.7,-0.692,0.01
2017-11-16,98.288,98.0,98.398,98.0,3808,37323704.0,0.4,-0.29,-0.288,0.27
2017-11-17,98.01,98.183,98.19,98.01,500,4902732.0,0.18,0.19,0.183,0.04
2017-11-20,98.998,98.213,98.998,98.2,1366,13416189.0,0.81,0.03,0.03,0.1
2017-11-21,98.213,98.231,98.359,98.213,1379,13557515.0,0.15,0.02,0.018,0.1
2017-11-22,98.234,98.048,99.5,98.039,544,5356633.0,1.49,-0.19,-0.183,0.04
2017-11-23,98.051,98.88,98.999,97.964,272,2675005.0,1.06,0.85,0.832,0.02
2017-11-24,98.88,98.2,99.997,98.059,539,5324440.0,1.96,-0.69,-0.68,0.04
2017-11-27,98.197,98.697,98.871,98.15,1313,12942344.0,0.73,0.51,0.497,0.09
2017-11-28,98.697,98.1,98.697,98.1,1003,9855942.0,0.6,-0.6,-0.597,0.07
2017-11-29,97.834,97.454,98.001,97.1,871,8484743.0,0.92,-0.66,-0.646,0.06
2017-11-30,97.451,97.822,98.0,97.27,390,3817653.0,0.75,0.38,0.368,0.03
2017-12-01,97.825,97.996,98.19,97.77,477,4673363.0,0.43,0.18,0.174,0.03
2017-12-04,97.999,97.993,98.088,97.901,238,2328245.0,0.19,0.0,-0.003,0.02
2017-12-05,98.0,97.994,98.247,97.831,1554,15232159.0,0.42,0.0,0.001,0.11
2017-12-06,97.997,97.85,98.04,97.834,736,7215394.0,0.21,-0.15,-0.144,0.05
2017-12-07,97.853,98.002,98.011,97.704,605,5924759.0,0.31,0.16,0.152,0.04
2017-12-08,97.866,97.802,98.0,97.802,302,2960412.0,0.2,-0.2,-0.2,0.02
2017-12-11,97.805,97.805,98.048,97.614,477,4673920.0,0.44,0.0,0.003,0.03
2017-12-12,97.808,97.9,97.999,97.75,1437,14070038.0,0.25,0.1,0.095,0.1
2017-12-13,97.897,97.949,97.949,97.806,1716,16807958.0,0.15,0.05,0.049,0.12
2017-12-14,97.946,97.903,98.0,97.903,1213,11889223.0,0.1,-0.05,-0.046,0.09
2017-12-15,97.906,97.801,98.037,97.8,327,3205561.0,0.24,-0.1,-0.102,0.02
2017-12-18,97.825,97.9,97.999,97.825,754,7385616.0,0.18,0.1,0.099,0.05
2017-12-19,97.903,97.85,97.984,97.813,1617,15842941.0,0.17,-0.05,-0.05,0.12
2017-12-20,97.853,98.15,98.498,97.853,469,4605443.0,0.66,0.31,0.3,0.03
2017-12-21,98.147,98.148,98.46,97.962,566,5552224.0,0.51,0.0,-0.002,0.04
2017-12-22,98.15,98.155,98.383,98.126,2476,24304244.0,0.26,0.01,0.007,0.18
2017-12-25,98.164,98.16,98.228,98.011,525,5151857.0,0.22,0.01,0.005,0.04
2017-12-26,98.163,98.25,98.394,98.001,212,2083893.0,0.4,0.09,0.09,0.02
2017-12-27,98.247,98.113,98.481,98.113,1130,11091298.0,0.37,-0.14,-0.137,0.08
2017-12-28,98.116,97.05,98.25,97.05,229,2246414.0,1.22,-1.08,-1.063,0.02
2017-12-29,97.502,98.116,98.4,97.502,366,3590987.0,0.93,1.1,1.066,0.03
2018-01-02,98.119,98.2,98.2,98.002,1070,10511179.0,0.2,0.09,0.084,0.08
2018-01-03,98.203,98.16,98.203,98.101,754,7405183.0,0.1,-0.04,-0.04,0.05
2018-01-04,98.11,98.161,98.161,98.081,1364,13389083.0,0.08,0.0,0.001,0.1
2018-01-05,98.164,98.078,98.477,97.501,565,5528626.0,0.99,-0.08,-0.083,0.04
2018-01-08,98.075,97.986,98.342,97.851,365,3578728.0,0.5,-0.09,-0.092,0.03
2018-01-09,97.98,98.124,98.294,97.855,775,7594558.0,0.45,0.14,0.138,0.06
2018-01-10,98.12,98.004,98.12,97.93,361,3538959.0,0.19,-0.12,-0.12,0.03
2018-01-11,98.001,97.742,98.001,97.621,327,3196335.0,0.39,-0.27,-0.262,0.02
2018-01-12,97.751,97.755,97.888,97.751,130,1272889.0,0.14,0.01,0.013,0.01
2018-01-15,97.758,97.8,97.889,97.65,97,949686.0,0.24,0.05,0.045,0.01
2018-01-16,97.803,97.859,97.859,97.731,935,9140864.0,0.13,0.06,0.059,0.07
2018-01-17,97.856,97.634,97.856,97.6,22,215799.0,0.26,-0.23,-0.225,0.0
2018-01-18,97.653,97.702,97.779,97.551,332,3246741.0,0.23,0.07,0.068,0.02
2018-01-19,97.641,97.997,97.997,97.641,126,1233207.0,0.36,0.3,0.295,0.01
2018-01-22,97.987,98.456,98.499,97.714,138,1353979.0,0.8,0.47,0.459,0.01
2018-01-23,98.2,98.25,98.399,98.2,861,8453955.0,0.2,-0.21,-0.206,0.06
2018-01-24,98.244,98.25,98.396,98.061,3013,29605605.0,0.34,0.0,0.0,0.22
2018-01-25,98.242,97.816,98.39,97.502,628,6170791.0,0.9,-0.44,-0.434,0.04
2018-01-26,98.001,98.027,98.456,98.001,1210,11885411.0,0.47,0.22,0.211,0.09
2018-01-29,98.036,98.01,98.279,98.0,1062,10410758.0,0.28,-0.02,-0.017,0.08
2018-01-30,98.013,97.861,98.339,97.852,970,9503686.0,0.5,-0.15,-0.149,0.07
2018-01-31,97.864,98.053,98.054,97.763,245,2400002.0,0.3,0.2,0.192,0.02
2018-02-01,98.056,97.966,98.171,97.851,988,9699858.0,0.33,-0.09,-0.087,0.07
2018-02-02,97.978,98.168,98.168,97.931,139,1363638.0,0.24,0.21,0.202,0.01
2018-02-05,98.165,98.17,98.299,98.1,478,4692586.0,0.2,0.0,0.002,0.03
2018-02-06,98.173,98.001,98.2,97.951,117,1144684.0,0.25,-0.17,-0.169,0.01
2018-02-07,98.103,98.201,98.249,98.1,341,3348293.0,0.15,0.2,0.2,0.02
2018-02-08,98.2,98.342,98.896,98.2,140,1378537.0,0.71,0.14,0.141,0.01
2018-02-09,98.28,98.4,98.488,98.28,171,1685578.0,0.21,0.06,0.058,0.01
2018-02-12,98.399,98.251,98.947,98.251,115,1133661.0,0.71,-0.15,-0.149,0.01
2018-02-13,98.421,98.282,98.58,98.263,7,69941.0,0.32,0.03,0.031,0.0
2018-02-14,98.285,98.891,98.9,98.285,147,1457562.0,0.63,0.62,0.609,0.01
2018-02-22,98.844,98.6,98.879,98.6,28,276819.0,0.28,-0.29,-0.291,0.0
2018-02-23,98.371,98.6,98.959,98.371,284,2800279.0,0.6,0.0,0.0,0.02
2018-02-26,98.98,99.345,100.56,98.98,724,7195701.0,1.6,0.76,0.745,0.05
2018-02-27,99.348,99.5,100.3,99.348,425,4230761.0,0.96,0.16,0.155,0.03
2018-02-28,99.4,99.467,99.499,99.4,994,9887048.0,0.1,-0.03,-0.033,0.07
2018-03-01,99.401,99.392,99.401,99.111,143,1421279.0,0.29,-0.08,-0.075,0.01
2018-03-02,99.06,99.292,99.392,99.06,283,2806185.0,0.33,-0.1,-0.1,0.02
2018-03-05,99.08,99.201,99.301,99.06,27,268997.0,0.24,-0.09,-0.091,0.0
2018-03-06,99.011,99.255,99.255,99.011,227,2253042.0,0.25,0.05,0.054,0.02
2018-03-07,99.26,99.2,99.26,99.032,2078,20617365.0,0.23,-0.06,-0.055,0.15
2018-03-08,99.0,99.072,99.124,99.0,455,4508923.0,0.13,-0.13,-0.128,0.03
2018-03-09,99.072,99.08,99.194,99.005,256,2536256.0,0.19,0.01,0.008,0.02
2018-03-12,99.08,99.092,99.2,99.029,200,1981750.0,0.17,0.01,0.012,0.01
2018-03-13,99.089,99.05,99.17,99.004,54,535976.0,0.17,-0.04,-0.042,0.0
2018-03-14,99.0,98.978,99.065,98.952,141,1396544.0,0.11,-0.07,-0.072,0.01
2018-03-15,98.988,99.019,99.03,98.988,52,516823.0,0.04,0.04,0.041,0.0
2018-03-16,99.022,99.03,99.091,98.995,143,1417712.0,0.1,0.01,0.011,0.01
2018-03-19,99.03,99.17,99.25,99.03,47,465754.0,0.22,0.14,0.14,0.0
2018-03-20,99.075,99.2,99.2,99.075,65,645280.0,0.13,0.03,0.03,0.0
2018-03-21,99.203,99.184,99.36,99.12,62,619362.0,0.24,-0.02,-0.016,0.0
