日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-04-25,111.691,111.693,111.694,111.679,599061,6046163968.0,0.01,0.01,0.006,7.21
2016-04-26,111.695,111.694,111.697,111.69,764994,7721192704.0,0.01,0.0,0.001,9.2
2016-04-27,111.695,111.713,111.719,111.695,1048484,10583594496.0,0.02,0.02,0.019,12.61
2016-04-28,111.711,111.735,111.738,111.711,499922,5047370752.0,0.02,0.02,0.022,6.01
2016-04-29,111.739,111.751,111.754,111.739,632902,6391365888.0,0.01,0.01,0.016,7.61
2016-05-03,111.753,111.742,111.753,111.738,741870,7491464960.0,0.01,-0.01,-0.009,8.92
2016-05-04,111.747,111.747,111.752,111.742,539962,5452780032.0,0.01,0.0,0.005,6.5
2016-05-05,111.756,111.758,111.762,111.754,472958,4776653568.0,0.01,0.01,0.011,5.69
2016-05-06,111.767,111.778,111.781,111.765,593603,5996144640.0,0.01,0.02,0.02,7.14
2016-05-09,111.782,111.791,111.792,111.782,729505,7369770240.0,0.01,0.01,0.013,8.78
2016-05-10,111.794,111.814,111.821,111.794,533822,5393627136.0,0.02,0.02,0.023,6.42
2016-05-11,111.812,111.805,111.815,111.801,855611,8645465856.0,0.01,-0.01,-0.009,10.29
2016-05-12,111.81,111.807,111.814,111.803,750911,7587725568.0,0.01,0.0,0.002,9.03
2016-05-13,111.821,111.823,111.825,111.817,586461,5926600704.0,0.01,0.01,0.016,7.05
2016-05-16,111.829,111.832,111.833,111.828,659571,6666116864.0,0.0,0.01,0.009,7.93
2016-05-17,111.839,111.839,111.841,111.838,497343,5026992128.0,0.0,0.01,0.007,5.98
2016-05-18,111.848,111.845,111.849,111.844,663450,6706455296.0,0.0,0.01,0.006,7.98
2016-05-19,111.852,111.852,111.854,111.851,595455,6019422208.0,0.0,0.01,0.007,7.16
2016-05-20,111.864,111.851,111.866,111.848,653249,6604104448.0,0.02,0.0,-0.001,7.86
2016-05-23,111.866,111.874,111.875,111.863,598525,6051392000.0,0.01,0.02,0.023,7.2
2016-05-24,111.882,111.886,111.887,111.88,494836,5003734272.0,0.01,0.01,0.012,5.95
2016-05-25,111.888,111.891,111.893,111.884,566645,5730245120.0,0.01,0.0,0.005,6.82
2016-05-26,111.897,111.894,111.903,111.892,755494,7640680192.0,0.01,0.0,0.003,9.09
2016-05-27,111.907,111.904,111.909,111.903,639401,6467087872.0,0.01,0.01,0.01,7.69
2016-05-30,111.918,111.919,111.921,111.916,673868,6816527360.0,0.0,0.01,0.015,8.11
2016-05-31,111.926,111.919,111.927,111.907,1042304,10543129600.0,0.02,0.0,0.0,12.54
2016-06-01,111.919,111.921,111.927,111.912,707314,7154876160.0,0.01,0.0,0.002,8.51
2016-06-02,111.924,111.93,111.937,111.924,672729,6805785856.0,0.01,0.01,0.009,8.09
2016-06-03,111.939,111.945,111.947,111.938,895679,9062401024.0,0.01,0.01,0.015,10.77
2016-06-06,111.943,111.957,111.958,111.942,852575,8627223552.0,0.01,0.01,0.012,10.26
2016-06-07,111.968,111.97,111.971,111.961,820927,8307972352.0,0.01,0.01,0.013,9.88
2016-06-08,111.992,112.012,112.013,111.99,723233,7321916928.0,0.02,0.04,0.042,8.7
2016-06-13,112.017,112.012,112.019,112.01,687398,6960013568.0,0.01,0.0,0.0,8.27
2016-06-14,112.018,112.016,112.021,112.015,659372,6676440064.0,0.01,0.0,0.004,7.93
2016-06-15,112.022,112.017,112.024,112.015,678423,6869569024.0,0.01,0.0,0.001,8.16
